teacher,Question,Answer
강레오,"십의 자리 숫자가 a이고, 일의 자리 숫자가 b인 두자릿수를 표현하면 10a+b잖아요 그런데 그러면 a가 두자릿수 이상일 경우는 생각하지 않는건가요?","안녕하세요~조교쌤이에요~
네~
십의자리의 숫자가 a이고, 일의자리의 숫자가 b일 때, 10a+b가 되지요?
문제의 조건에서 백의자리의 숫자가 있는데 십의자리의 숫자가 a인데, 두자리의 수가 될 수 없으므로
한자리의 숫자가 오게 됩니다."
강레오,"5 번에 차수가 1인 다항식이 일차식의 정의인데 왜 답이 5번은
 안돠는지 궁금합니다
 문자가 두개가 곱해졌지만 차수는 1이니까
 5번도 정답아닌가요? ","안녕하세요~조교쌤이에요~
x곱하기y는
문자의 개수가 2개이므로 일차식이 될 수 없습니다.
문자가 곱해진 개수로 보면 좀 더 이해가 쉬울거에요~ "
강레오,"선생님, 정수도 유리수에 포함되는거죠? ","안녕하세요~조교쌤이에요~
네~분모가 1인 유리수라고 생각하시면 덜 헷갈릴거에요~
유리수는 n/m(n은 정수, m은 0이 아닌 정수)입니다.  "
강레오,선생님 중2여서 고등수학의 차례를 잘 모르는데... 지금 1강부터 끝까지 배우는 것은수학 상에서 배우는 건가요? ,"안녕하세요~조교쌤이에요~
어떤부분을 얘기하시는 건가요???
 "
강레오,"선생님 부분집합의 개수만 있고 특정한 원소를 갖거나 갖지 않는 부분집합의 개수는 왜 않해주시나요? 자세히 설명이 되어있지는 않은 것 같아서 질문드립니다
 ","안녕하세요~조교쌤이에요~
특정한 원소 a, b를 원소로 갖지 않는 부분집합은
집한 A에서 원소 a, b를 제외한 집합 {c, d}의 부분집합과 같습니다.
공집합, {c}, {d}, {c, d}
 "
강레오,이중근호를 어떻게 없애나요? 자세히 설명해 주세요,"안녕하세요~조교쌤이에요~
3은 자연수(양의정수)이며
정수는 유리수에 속하므로 3은 유리수가 맞습니다.
 유리수란 a/b(b는 0이 아니다)이며"
강레오,공식을 자 외워야 하는 거겠죠? 효과적으로 단기간에 확실하게 외우는 방법같은건 없을까요? 깜지를 써야 할까요?? 곱셈공식의 변형도 그렇고 인수분해 공식도 어떻게 외우는지모르겠어요..,"안녕하세요~조교쌤이에요~
공식외우는게 쉽지 않죠??
근데 우리 구구단 외웠던 것 처럼.
연습만이 답이에요~
매번 전개와 인수분해."
강레오,풀이할 때 2의 6제곱 나누기 2의 제곱이 왜 2의 4제곱이 되는거죠...;; 풀이 수정 해주세요 ,"2의 6제곱은 2를 6번곱한것이고
2의 제곱은 2를 두번곱한거니까
나누면
2 네번곱한것만 남게되잖아~
 "
강레오,"20강에서
20강 130번 문제의 1번에서 (x+2)(x+4)≥0 이 왜 바깥이 되는건지 잘 이해를 못하겠어요ㅠㅠ설명해주세요!! (2번문제에도 있네요!!)","이걸 보게되려나
 두개의 곱이 0이상일 때 범위가 바깥쪽이 되는건
사실 대입해봐도 확인할수있어
 "
강레오,"14강~23강 교안
선생님 아직도 14강이랑 22,23강 교안이 없어요ㅠㅠ ","안녕하세요~ 기존에 빠져있던 14강, 22강, 23강에 대한 교안 첨부 되었습니다.
 늦게 올려서 미안해요~~
 그럼 오늘도 열공하세요 ^^  "
강레오,"14강~23강 교안
14강~23강 교안을 열었는데 14강이랑 22,23강의 교안이 없어요!! 확인해주세요! ",확인해볼게!! 
강레오,"2학기 과정은 안 나오는건가요?
선생님 안녕하세요!
 요즘 강의 정말 잘 듣고있어요! 좋은 강의 감사합니다 :)
 ","2학기 과정 나왔음
이미 촬영은 다 끝났고
런칭됐을거야!
 잘들어준다니 고맙다!"
강레오,"지금 이거 들어도 되나요 ㅠㅠ
중3인데 2학기는 진도나가는중인데 고등학교과정 미리 예습하고싶어서 신청했는데 2학기 과정 다끝내고 들어야하나요??ㅠㅠ
그냥들어도 문제업을까요?? ","3-1은 어느정도 되어있고
3-2는 피타고라스정도만 알면
들을수있을거야!
 화이팅! "
강레오,"수학책에 ' 다음 수 중에서 가장 작은 수와 절댓값이 가장 큰 수의 합을 구하시오' 라는 문제가 있는데 다음 수는 [+3/2] , [-5/3] , [-3/4] , [+9/5] 가 있어요, 여기서 절댓값이 가장 작은건 [-3/4] 이고 가장 큰 건 [+9/5] 라고 계산이 나왔거든요. 이걸 더하면 +21/20 이 나오는데 답이랑 결과가 달라요. 어느 부분이 잘못된거죠?ㅜㅠㅠㅠㅠ ","안녕하세요~조교쌤이에요~
다음 수 중에서 가장 작은 수와 절댓값이 가장 큰 수의 합을 구하시오
앞에서 절댓값이 가장 작은 수가 아닌 가장 작은수로 찾고 있으므로 가장 작은 수는 -5/3입니다~"
강레오,"질문이요 근데 0은 유리수다라고 하면 맞나요??
아니면 정수도 되고 유리수도 되다가 맞나요??
아니면 0은 정수다 라고 유리수를 뺴놓고말하면 그
답을 맞다고 하나요?? ","안녕하세요~조교쌤이에요~
0은 정수이며,
정수는 유리수에 속하므로 0은 정수면서 유리수가 맞습니다.
 유리수란 a/b(b는 0이 아니다)이며"
강레오,"14-23강 첨부파일이 안보이는데요?
강레오 선생님 수업, 이것 저것 잘 듣고 있습니다.
수업 내용이 알차고 은근 재미있어요^^
 이번 수업도 조금씩 잘 듣고 있는데요....","양질의 문항을 제공하기위해
검수중에 있음.
검수해도 오류가 발생하는경우가있긴하지만 ㅠㅠ
 조금만 기둘려주~"
권태운,"38강 30분24초
도넛모양이 아니라 원 모양 아닌가요?","안녕하세요~조교쌤이에요~
아래 원기둥을 기준으로,
위에 원기둥이 곂쳐지므로,
아래만 보았을때는,
도넛 모양이 되고,"
권태운,L*G에서 L과G는 무엇을 의미하나요?,"안녕하세요~조교쌤이에요~
L은 최소공배수(least common multiple)의 약자입니다.
G는 최대공약수(greatest common divisor)의 약자입니다. "
권태운,"선생님!
개념익힘탑 66쪽 45번 문제랑 67쪽 54번, 58번 잘 모르겠어요~ ",안녕하세요~조교쌤이에요~
권태운,"선생님a개념확인문제2번(82쪽)랑 83쪽 거듭제곱3번째
문제도 어려워요 구체적으로 설명해주세요 ",안녕하세요~조교쌤이에요~
권태운,"음..정수와 유리수의 혼합 계산은
초등학교때 배웠던 사칙 연산 같은 건가요?
규칙이 너무 똑같아서요!
(규칙 똑같아서 쉬워요..!^^!)","안녕하세요~조교쌤이에요~
초등과정에서는 덧셈의 교환법칙이 나와서
음수가 교환법칙이 성립합니다.
 "
권태운,개념탑 84쪽 3번문제에서 평행선을 그었을 때 왜 평행한건가요   강의(13분 30초),"안녕하세요~조교쌤이에요~
평행선이 아닙니다.
삼각형의 맞꼭지각의 크기가 같으므로,
나머지 두 각의 크기의 합이 같아지는 원리로 풀어주시면 됩니다.
선생님 강의에도 평행이란 설명은 없으시네요^^"
권태운,보조선을 그었을 떄 어떻게 평행하다는 걸 알 수 있나요,"안녕하세요~조교쌤이에요~
동위각의 크기가 같거나, 엇각의 크기가 같은 것으로,
평행을 증명합니다.
어떤 문제인지 페이지와 번호를 알려주시면,
조금 더 정확한 답변을 해드릴 수 있어요~ "
권태운,"45강 개념확인 문제 d 5번 188쪽에 답은 A(-2,4)가 아니라 A(4,-2) 아닌가요?
제가 틀린 건가요 ㅠㅠ","안녕하세요~조교쌤이에요~
원점을 지나는 직선이므로 y=ax의 식에 (1, -2)를 대입하면,
-2=aX1
a=-2
y=-2x의 식이됩니다."
권태운,"69페이지7번에 정수갯수를 구할때 +쪽만 찾아도 되지않나요 
그리고 안된다면 왜 안되는지도 알려주세요 😄","안녕하세요~조교쌤이에요~
1/2 < 절댓값x < 14/3
절댓값x < 14/3
정수
-4, -3, -2, -1, 0, 1, 2, 3, 4"
권태운,"왜 문자로 거듭 제곱을 사용한 식을 나타낼 때 m, n을 사용하나요? ","안녕하세요~조교쌤이에요~
m, n의 특별한 의미는 없습니다.
임의의 수를 표현한 것입니다. "
권태운,"38강 30분24초
도넛모양이 아니라 원 모양 아닌가요?","안녕하세요~조교쌤이에요~
아래 원기둥을 기준으로,
위에 원기둥이 곂쳐지므로,
아래만 보았을때는,
도넛 모양이 되고,"
권태운,L*G에서 L과G는 무엇을 의미하나요?,"안녕하세요~조교쌤이에요~
L은 최소공배수(least common multiple)의 약자입니다.
G는 최대공약수(greatest common divisor)의 약자입니다. "
권태운,"선생님!
개념익힘탑 66쪽 45번 문제랑 67쪽 54번, 58번 잘 모르겠어요~ ","안녕하세요~조교쌤이에요~
기약분수에서 분모가 1이 되는 유리수를 정수라고 생각하면 우리학생이 헷갈려하는 부분이 잡힐것 같습니다.
-4/2=-2/1=-2
 정수는"
권태운,안녕하세요. 38강에 (두 사람이 이동한 거리의 차) = (호수 둘레의 길이) 를 잘 모르겠어요. 왜 호수 둘레의 길이가 되는거에요?,"안녕하세요~조교쌤이에요~
두 사람 중 한사람이 빠르므로,
한사람이 한바퀴를 더 돌아야지만 만날 수 있습니다.
그러므로 빨리 돈 사람과 늦게 돈 사람의 거리의 차가 한바퀴의 차가 나와야 합니다. "
권태운,"안녕사세요, 제가 강의를 보다 혼동되는 점이 있어서 글을 올려요!
교재 34쪽 맨 위쪽 문제 있잖아요! (두 자연수 A,B에 대하여 최대공약수가 6, 최소공배수가 48일때..)
그 문제를 6강 영상으로 보면 44:30초 정도 됩니다
  ","안녕하세요~조교선생님이에요~
최대공약수는
the greatest common denominator((abb.)GCD)
이므로
최대공약수는는 G"
권태운,"9의 배수를 빨리 구할 수 있는 방법이 있나요?
9의 배수 중에서 200에 가장 가까운 수를 구해야 하는데..
제가 방법을 잘 모르는건지
구하는게 좀..못하겠네요..
200에 9 나눠봤는데..이방법 아닌것 같아요..","안녕하세요~
3의 배수는 각 자리의 합이 3의 배수
9의 배수는 각 자리의 합이 9의 배수
일 때,
9의 배수가 됩니다."
권태운,선생님 개념익힘탑 50쪽 16번 잘모르겠어요! ,"안녕하세요~조교쌤이에요~
A지점에서 출발하여  20km 떨어진 B지점을 향하여 인라인 스케이트를 타고 시속 7km로 a시간 동안 달렸다. 이때 a시간 동안 달리고 남은 거리를 문자를 사용한 식으로 나타내시오.라고 했으므로,
시속 7km로 a시간 동안 달린 거리=7a
그러므로, 남은거리는 20-7a(km)가 됩니다. "
권태운,아래질문 수정해놓았습니다.,"6/29 재답변 드림
다시 답변드려요~
설명을 해주시다가 중간에 중단된 것이아니라,
핵심되는 문제만 설명해주셨습니다.
우리학생,
새로운 질문은 새로 질문해 주세요~
누락이 되어서 늦게 확인이 되어서 답변이 늦어져 죄송합니다. "
권태운,"??왜 33강 중간부분 잘려있나요?
132쪽 1번부터 133쪽 3번 문제풀이가 안 나와있어요.
19분 2초 부근입니다.
혹시 이유를 알 수 있을까요?
 ","안녕하세요~조교쌤이에요~
우리학생 어디부분인지 알려주셔야 선생님이 확인이 가능합니다.
몇분몇초인지, 몇번문제인지 알려주세요~"
권태운,권태운선생님 2학년 강의는 없나요? 제가 저번에 봤었던것 같은데 없어가지고 이렇게 여쭈어봅니다.,"안녕하세요~조교쌤이에요~
2015개정교육과정 반영한 권태운쌤 강의는 없습니다.
권태운 선생님은 더 이상 강의를 진행하지 않습니다. "
권태운,"지금 배우는 내용들, 중 3 학업성취도 기출에 나오는 건가요?
(문제에 쪼끄맣게 되어있길래..!)","안녕하세요~조교쌤이에요~
중3 학업성취도에 나왔던 문제들인거에요^^ "
권태운,안녕하세요. 익힘탑 82쪽 11번을 어떻게 풀어야 할 지 잘 모르겠어요ㅠㅠ,"안녕하세요~조교쌤이에요~
11번
작년의 전체 학생수는 500명
작년의 남학생 수를 x명라 한다면
작년의 여학생 수는 (500-x)명"
권태운,"자연수가 아닌 정수란 무엇인가요?
0 이하의 정수를 말하는 것인가요?
아니면..자세하게 설명해주세요!!😮                                                                                                                                                                ","안녕하세요~조교쌤이에요~
기약분수에서 분모가 1이 되는 유리수를 정수라고 생각하면 우리학생이 헷갈려하는 부분이 잡힐것 같습니다.
-4/2=-2/1=-2
 정수는"
권태운,안녕하세요. 38강에 (두 사람이 이동한 거리의 차) = (호수 둘레의 길이) 를 잘 모르겠어요. 왜 호수 둘레의 길이가 되는거에요?,"안녕하세요~조교쌤이에요~
두 사람 중 한사람이 빠르므로,
한사람이 한바퀴를 더 돌아야지만 만날 수 있습니다.
그러므로 빨리 돈 사람과 늦게 돈 사람의 거리의 차가 한바퀴의 차가 나와야 합니다. "
권태운,"안녕사세요, 제가 강의를 보다 혼동되는 점이 있어서 글을 올려요!
교재 34쪽 맨 위쪽 문제 있잖아요! (두 자연수 A,B에 대하여 최대공약수가 6, 최소공배수가 48일때..)
그 문제를 6강 영상으로 보면 44:30초 정도 됩니다
  ","안녕하세요~조교선생님이에요~
최대공약수는
the greatest common denominator((abb.)GCD)
이므로
최대공약수는는 G"
권태운,"9의 배수를 빨리 구할 수 있는 방법이 있나요?
9의 배수 중에서 200에 가장 가까운 수를 구해야 하는데..
제가 방법을 잘 모르는건지
구하는게 좀..못하겠네요..
200에 9 나눠봤는데..이방법 아닌것 같아요..","안녕하세요~~조교쌤이에요~
대신이 아니라 선생님마다 하시는 강의와 교재가 있는거에요^-----^"
권태운,투탑 뒤에 부록으로 있는 개념 익힘탑은 그냥 혼자서 복습용으로 쓰는건가요? 아직 강좌 다 보지 못해서 이게 따로 강의가 있는지 모르겠어요 따로 없으면 그냥 혼자 복습용으로 쓰려구요. ,"안녕하세요~조교쌤이에요~
네~따로 강의는 없습니다.
혹시 질문이 필요한 문제는 질문방에 질문 부탁드려요~"
권태운,"개념익힘탑 5쪽에 28번 문제의 b와 같은 수를 구하기 너무 힘들고 어려워요ㅠㅠ
혹시 쉽게 구할 수 있는 방법 없나요?","안녕하세요~조교쌤이에요~
어떤수의 제곱인지를 구할 때에는

 "
권태운,"강의 들을 때 개념 설명을 들은뒤 문제를 풀고 선생님이 문제풀이
해주시는걸 봐야하나요?정확하게 어떻게 해야될지 알려주세요    
   ","안녕하세요~조교쌤이에요~
따로 정해진 방법은 없지만,
개념강의을 먼저 듣고, 문제풀이를 한번 한 뒤에
다시 풀어보는게 조금 쉽게 할 수 있는 방법이 될 것 같습니다.
어려운 부분은 반복해서 듣고 풀어보는게 가장 좋은 방법입니다."
권태운,권태운 선생님은 언제 다시 촬영 하나요?,"안녕하세요~ 박*희 친구!
권태운 선생님 담당자 입니다.^^
 권태운 선생님 촬영 일정에 대해 문의하셨는데요,
아쉽게도... 권태운 선생님께서는 더이상 EBS중학 프리미엄 수학 강좌 촬영 예정이 없으십니다."
권태운,"76쪽 37번 문제입니다.
풀이집에서 집에서 학교까지이 거리를 2xkm라고 하면 이라고 설명이 되어 있어요.
왜 거리를 x로 두지않고 2x인지가 이해가 안됩니다.
식을 세울때 x/2+x/6=1/3 ∴x=4/5는 이해가 됩니다.
여기에서 2xkm에 대입하는게 이해가 되지 않아요.","안녕하세요~조교쌤이에요~
집에서 학교까지 가는 데 절반까지는 시속 4km로 걸어가고,
나머지 절반은 시속 6km로 뛰어서 모두 20분이 걸렸다고 했으므로,
절반까지의 거리를 x로 두고 전체 집에서 학교까지의 거리를 2x로 둔것입니다. "
권태운,41쪽 11번문제 잘 모르겠습니다.,"안녕하세요~조교쌤이에요~
11번
 "
권태운,"교점을 꼭짓점, 교선을 모시리와 같이 표현해도 되나요? ","안녕하세요~조교쌤이에요~
y=2x라고 했으므로,
x의 값이 2배가 y의 값이 됩니다.
그러므로 x=5의 값일 때, y의 값은
5X2=10"
권태운,"선생님 
왜 33강에서 a번문제 다음 왜 바로 d
번 문제로 가나요?","안녕하세요~조교쌤이에요~
혹시 모르는 문제가 있었나요?
질문을 다시 해주시면, 답드릴께요~"
권태운,왜 답이 -8 인가요?? ,"안녕하세요~조교쌤이에요~
x=a일 때, y=-6이 되므로,
y=3/4x의 식에 y=-6을 대입하면,
-6=3/4a
a=-6X4/3"
권태운,"103p에 3-2번 문제에서 부채꼴에 왼쪽 위에 점에서
오른쪽 아래에 있는 점으로 선을 긋고
중심각인 90도의 이등분선을 그어서 활꼴4개의 활꼴이 생겼는데
정확히 2개는 색칠된 활꼴 2개는 색칠이 되지 않은 활꼴이
생겼아요.","안녕하세요~조교쌤이에요~
 반지름이 같고 중심각이 같은 활꼴이므로 합동이 됩니다.
 "
권태운,"101p에 check 1-1번 문제에 답이 5/2 파이cm 라고 나와있는데
2.5파이cm 도 맞는답인가요?
 ","안녕하세요~조교쌤이에요~
네~무한소수가 아니라면,
소수로 저거어도 무관합니다~"
권태운,x=240/11 이 나왔는데 이게 왜 9/11이 되는거고 또 왜 답이 21이 되는건가요 ,"안녕하세요~조교쌤이에요~
4시와 5시 사이이므로,
시침은 1분에 0.5도
분침은 1분에 6도로
 "
권태운,익힘책 80쪽 62번에 식이 (30분의1+50분의 1) X 10+30분의 1 X x =1 이라고 해서 그 다음에 약분해서 3분의1+5분의 1+ 30분의x=1 이라고 되있는데요.. 5로 약분을 했는데 다른 분수에는 다 해줬는데 왜 30분의 1에는 왜 해주지 않은거죠? 61번에도 다 약분 해줬는데..? ,"안녕하세요~조교쌤이에요~
(1/30+1/50)X10+1/30Xx=1
분배법칙을 하면,
1/3+1/5+x/30=1
양변에 30을 곱하면, "
권태운,익힘 78쪽 52번에 풀이가 '따라서 열차의 길이는 300m이므로 초속 30(m)로 달린다'라고 나와있는데 왜 초속30m로 달리나요 ,"안녕하세요~조교쌤이에요~
52. 일정한 속력으로 달린다고 했으므로 속력이 같다는 식으로 열차의 길이를 xm로, 두 조건을 가지고 식을 세워주면, 
거리/시간=속력
600+x/30=750+x/35
가 됩니다."
권태운,권태운 선생님께서 중학 2-1 2-2 개념 강의를 만들 생각은 없다고 하시나요..? ㅠㅠ,"안녕하세요~ 권*안 친구!
권태운 선생님 개념 강의를 기다리고 있군요.
 아쉽게도 권태운 선생님께서는 더 이상 강의 진행이 어렵다고 하십니다. ㅠ.ㅠ
학원 일로 너무 바쁘셔서... 중2-1과 2-2 투탑 수학은 권혜정 선생님께서 진행하셨어요~"
권태운,"수학을 좋아하게 되는 방법이나 수학에서 재미를 찾는 방법이나 수학문제를  어떤
문제든 즐기면서 푸는 방법은 무엇인가요? ","안녕하세요~조교쌤이에요~
선생님의 의견은요~
조금 쉬워지면 재밌는거 같더라구요.
자신감도 생기고,
아마 꼭 수학에서만 해당되는것은 아닐거 같구요^^"
권태운,"189쪽, 7번!! 45강 33분 03초 왜 (5,b)인데 왜 갑자기b에다가 2배를 하나요
🙄","안녕하세요~조교쌤이에요~
y=2x라고 했으므로,
x의 값이 2배가 y의 값이 됩니다.
그러므로 x=5의 값일 때, y의 값은
5X2=10"
권태운,"선생님 
왜 33강에서 a번문제 다음 왜 바로 d
번 문제로 가나요?","안녕하세요~조교쌤이에요~
혹시 모르는 문제가 있었나요?
질문을 다시 해주시면, 답드릴께요~"
